Year,Wage,State,,,,,,,,,,,,,
2013, 950.0 ,NSW,,,,,,,,,,,,,
2014," 1,000.0 ",NSW,,,,,,,,,,,,,
2015," 1,000.0 ",NSW,,,,,,,,,,,,,
2016," 1,000.0 ",NSW,,,,,,,,,,,,,
2017," 1,050.0 ",NSW,,,,,,,,,,,,,
2018," 1,071.0 ",NSW,,,,,,,,,,,,,
2019," 1,150.0 ",NSW,,,,,,,,,,,,,
2020," 1,150.0 ",NSW,,,,,,,,,,,,,
2021," 1,249.0 ",NSW,,,,,,,,,,,,,
2022," 1,246.0 ",NSW,,,,,,,,,,,,,
2023," 1,339.4 ",NSW,,,,,,,,,,,,,
2013, 900.0 ,VIC,,,,,,,,,,,,,
2014, 948.9 ,VIC,,,,,,,,,,,,,
2015, 950.0 ,VIC,,,,,,,,,,,,,
2016," 1,000.0 ",VIC,,,,,,,,,,,,,
2017," 1,000.0 ",VIC,,,,,,,,,,,,,
2018," 1,069.0 ",VIC,,,,,,,,,,,,,
2019," 1,072.1 ",VIC,,,,,,,,,,,,,
2020," 1,150.0 ",VIC,,,,,,,,,,,,,
2021," 1,182.1 ",VIC,,,,,,,,,,,,,
2022," 1,250.0 ",VIC,,,,,,,,,,,,,
2023," 1,280.0 ",VIC,,,,,,,,,,,,,
2013, 950.0 ,QLD,,,,,,,,,,,,,
2014, 982.7 ,QLD,,,,,,,,,,,,,
2015," 1,000.0 ",QLD,,,,,,,,,,,,,
2016," 1,000.0 ",QLD,,,,,,,,,,,,,
2017," 1,000.0 ",QLD,,,,,,,,,,,,,
2018," 1,050.0 ",QLD,,,,,,,,,,,,,
2019," 1,057.0 ",QLD,,,,,,,,,,,,,
2020," 1,096.0 ",QLD,,,,,,,,,,,,,
2021," 1,141.6 ",QLD,,,,,,,,,,,,,
2022," 1,209.0 ",QLD,,,,,,,,,,,,,
2023," 1,300.0 ",QLD,,,,,,,,,,,,,
2013, 900.0 ,SA,,,,,,,,,,,,,
2014, 924.6 ,SA,,,,,,,,,,,,,
2015, 958.0 ,SA,,,,,,,,,,,,,
2016, 951.0 ,SA,,,,,,,,,,,,,
2017, 975.0 ,SA,,,,,,,,,,,,,
2018," 1,000.0 ",SA,,,,,,,,,,,,,
2019," 1,010.0 ",SA,,,,,,,,,,,,,
2020," 1,052.7 ",SA,,,,,,,,,,,,,
2021," 1,100.0 ",SA,,,,,,,,,,,,,
2022," 1,125.0 ",SA,,,,,,,,,,,,,
2023," 1,200.0 ",SA,,,,,,,,,,,,,
2013," 1,045.3 ",WA,,,,,,,,,,,,,
2014," 1,127.6 ",WA,,,,,,,,,,,,,
2015," 1,089.0 ",WA,,,,,,,,,,,,,
2016," 1,100.0 ",WA,,,,,,,,,,,,,
2017," 1,104.0 ",WA,,,,,,,,,,,,,
2018," 1,189.0 ",WA,,,,,,,,,,,,,
2019," 1,200.0 ",WA,,,,,,,,,,,,,
2020," 1,250.0 ",WA,,,,,,,,,,,,,
2021," 1,250.0 ",WA,,,,,,,,,,,,,
2022," 1,324.3 ",WA,,,,,,,,,,,,,
2023," 1,339.3 ",WA,,,,,,,,,,,,,
2013, 842.4 ,TAS,,,,,,,,,,,,,
2014, 863.5 ,TAS,,,,,,,,,,,,,
2015, 879.0 ,TAS,,,,,,,,,,,,,
2016, 900.0 ,TAS,,,,,,,,,,,,,
2017, 950.0 ,TAS,,,,,,,,,,,,,
2018, 974.9 ,TAS,,,,,,,,,,,,,
2019," 1,000.0 ",TAS,,,,,,,,,,,,,
2020," 1,000.0 ",TAS,,,,,,,,,,,,,
2021," 1,004.2 ",TAS,,,,,,,,,,,,,
2022," 1,082.0 ",TAS,,,,,,,,,,,,,
2023," 1,209.6 ",TAS,,,,,,,,,,,,,
2013," 1,100.0 ",NT,,,,,,,,,,,,,
2014," 1,261.2 ",NT,,,,,,,,,,,,,
2015," 1,200.0 ",NT,,,,,,,,,,,,,
2016," 1,250.0 ",NT,,,,,,,,,,,,,
2017," 1,202.3 ",NT,,,,,,,,,,,,,
2018," 1,250.0 ",NT,,,,,,,,,,,,,
2019," 1,204.0 ",NT,,,,,,,,,,,,,
2020," 1,200.0 ",NT,,,,,,,,,,,,,
2021," 1,344.0 ",NT,,,,,,,,,,,,,
2022," 1,400.0 ",NT,,,,,,,,,,,,,
2023," 1,426.9 ",NT,,,,,,,,,,,,,
2013," 1,210.6 ",ACT,,,,,,,,,,,,,
2014," 1,200.0 ",ACT,,,,,,,,,,,,,
2015," 1,250.0 ",ACT,,,,,,,,,,,,,
2016," 1,250.0 ",ACT,,,,,,,,,,,,,
2017," 1,299.0 ",ACT,,,,,,,,,,,,,
2018," 1,300.0 ",ACT,,,,,,,,,,,,,
2019," 1,299.3 ",ACT,,,,,,,,,,,,,
2020," 1,428.5 ",ACT,,,,,,,,,,,,,
2021," 1,468.6 ",ACT,,,,,,,,,,,,,
2022," 1,500.0 ",ACT,,,,,,,,,,,,,
2023," 1,550.0 ",ACT,,,,,,,,,,,,,
